review_text,true_label,prompt_style,temperature,category,product,rating,sample_id
"I recently purchased this cookbook and was somewhat disappointed with the results. The book has a nice layout and the photography is good, but I found the recipes to be a bit lacking in terms of creativity and clarity. One feature that I did appreciate was the 'meal planning' section at the back of the book, which provides a week's worth of dinner ideas and a corresponding shopping list. However, overall I wouldn't recommend this cookbook to anyone looking to try new and exciting dishes.",organic,simple,0.2,Books_5,cookbook,2,4
"I recently purchased this action movie DVD and I'm really impressed with the quality of the film. The storyline is engaging and the special effects are top-notch. One feature that stood out to me was the behind-the-scenes documentary included as a bonus feature, which provided some interesting insight into the making of the movie. Overall, I'm very satisfied with this purchase and would definitely recommend it to fans of the action genre.",organic,simple,0.2,Movies_and_TV_5,action movie DVD,5,5
"I've been using this lipstick for a few weeks now and overall, I'm pretty satisfied with it. The color payoff is great and it lasts for a decent amount of time. One feature that really stands out to me is the moisturizing formula - it contains hyaluronic acid, which helps keep my lips hydrated and soft throughout the day. The only reason I'm not giving it a full 5 stars is that it can be a bit tricky to apply evenly, but with a little practice, it's not a major issue.",organic,simple,0.2,Beauty_5,lipstick,4,6
"I recently purchased this board game and was somewhat disappointed with the overall experience. The game itself is fairly straightforward, but I found the gameplay to be a bit repetitive. One feature that did stand out to me was the modular board, which allows for a different layout each time you play. However, this wasn't enough to save the game from its overall lack of depth and complexity. Unfortunately, I wouldn't recommend this game to anyone looking for a challenging or engaging experience.",organic,simple,0.2,Toys_and_Games_5,board game,2,7
"I've been using this shampoo for a few weeks now, and I have to say it's been a bit of a letdown. The one thing I do like is that it lathers really well, which makes it easy to work into my hair. However, I haven't noticed any significant improvement in the overall health or appearance of my hair, and it still tends to get greasy pretty quickly. For the price, I expected more, so I'm only giving it 2 out of 5 stars.",organic,simple,0.2,Beauty_5,shampoo,2,8
"I recently finished reading this biography and had mixed feelings about it. The author did a good job of providing a detailed account of the subject's life, including their early struggles and rise to fame. One feature that stood out to me was the inclusion of personal letters and interviews, which added a layer of depth and authenticity to the story. However, at times the writing felt a bit dry and the pacing was slow, which made it hard to stay engaged. Overall, it was an okay read, but not particularly memorable.",organic,simple,0.2,Books_5,biography,3,9
"I've been using this yoga mat for a few weeks now and I'm really happy with it. The textured surface provides great grip, even when I'm sweating, which is a big plus for me. Overall, it's a well-made and comfortable mat that's perfect for my daily yoga routine. I'd definitely recommend it to others.",organic,simple,0.2,Sports_and_Outdoors_5,yoga mat,5,10
"I've been using these wireless headphones for a few weeks now and I'm really impressed with their overall performance. The sound quality is great and they're very comfortable to wear. One feature that's particularly useful to me is the long battery life - I can easily get a full day's use out of them without needing to recharge. Overall, I'm very happy with my purchase and would definitely recommend these headphones to anyone in the market for a reliable and high-quality wireless option.",organic,simple,0.2,Electronics_5,wireless headphones,5,11
"I've been using this shampoo for a few weeks now and I'm really pleased with the results. It's gentle on my hair and scalp, and the fact that it's sulfate-free is a big plus for me. I've noticed a significant reduction in frizz and my hair feels softer and more manageable overall. I'd definitely recommend this shampoo to anyone looking for a high-quality, gentle cleanser.",organic,simple,0.2,Beauty_5,shampoo,5,12
"I recently purchased this winter jacket and I'm really happy with it. The waterproof and breathable membrane has been a game changer for me, keeping me dry and comfortable even in wet and windy conditions. The overall quality and fit of the jacket are great, and I've been wearing it constantly since I got it. Definitely recommend.",organic,simple,0.2,Clothing_Shoes_and_Jewelry_5,winter jacket,5,13
"I recently purchased this puzzle and have had a decent experience with it. The 1000-piece count provides a good challenge, but I found the image quality to be somewhat lacking. One feature I did appreciate was the sturdy storage box that came with it, which has made it easy to keep the pieces organized and prevent loss. Overall, it's an average puzzle that could be enjoyable for those looking for a moderate difficulty level, but may not stand out from others in its category.",organic,simple,0.2,Toys_and_Games_5,puzzle,3,14
"I'm really disappointed with this printer paper. I thought it would be a standard, reliable choice for my office, but it's been a letdown. The 20 lb weight is supposed to be a plus, but it still jams in my printer more often than not. Overall, I wouldn't recommend this paper to anyone.",organic,simple,0.2,Office_Products_5,printer paper,1,15
"I recently purchased this puzzle and have been working on it for a few days now. Overall, it's been a decent experience, but not particularly impressive. One feature I do appreciate is the sturdy storage box that comes with it, which has been helpful in keeping all the pieces organized. The puzzle itself is fairly challenging, but I wouldn't say it's the most engaging or rewarding one I've completed. For the price, it's an okay value, but I'm not sure I would recommend it to anyone looking for a truly exceptional puzzle experience.",organic,simple,0.2,Toys_and_Games_5,puzzle,3,16
"I'm really disappointed with this laptop, unfortunately it hasn't met my expectations. The battery life is particularly bad, the advertised 8 hours of usage is far from reality, I'm lucky if I get 4 hours. The overall performance is slow and it freezes often, making it frustrating to use. For the price, I expected a lot more, sadly it's not worth the investment.",organic,simple,0.2,Electronics_5,laptop,1,17
"I recently purchased this doll for my niece, and while it's an okay toy, I wouldn't say it's the best value for the price. One feature I did like is the removable outfit, which allows for some creativity and role-playing. However, the overall quality and construction of the doll could be better, and I've noticed that the hair is already starting to come loose after just a few weeks of play. Overall, it's an average doll that could be improved with a bit more attention to detail.",organic,simple,0.2,Toys_and_Games_5,doll,2,18
"I recently watched a documentary series that left me with mixed feelings. While it was informative and shed light on some interesting topics, I felt that it lacked a cohesive narrative thread to tie everything together. One feature that did stand out to me was the archival footage, which was well-integrated and added a nice layer of depth to the storytelling. Overall, it was an average watch for me, and I'd recommend it to fans of the genre, but others might find it a bit dry at times.",organic,simple,0.2,Movies_and_TV_5,documentary series,3,19
"I recently purchased this puzzle and I'm really happy with it. The piece fit is very good, which makes it enjoyable to work on. One feature that stands out to me is the high-quality image used, it's clear and vibrant, making it a pleasure to complete. Overall, I think it's a great puzzle and I would definitely recommend it to others.",organic,simple,0.2,Toys_and_Games_5,puzzle,5,20
"I've been using this mechanical pencil for a while now and it's been an okay experience. The lead advancement mechanism is pretty smooth, which I appreciate. However, the overall build quality and durability are somewhat lacking, and it tends to feel a bit flimsy in my hand. For the price, I expected a bit more, but it gets the job done.",organic,simple,0.5,Office_Products_5,mechanical pencil,2,1
"I've been using this moisturizer for a few weeks now and I'm pretty happy with the results. It leaves my skin feeling soft and hydrated, which is great for my dry skin type. One feature that really stands out to me is the non-greasy texture - it absorbs quickly into my skin without leaving any residue, which is perfect for daily use under makeup. Overall, it's a solid moisturizer that gets the job done, but I'm not entirely convinced it's worth the price point, hence the 4 stars.",organic,simple,0.5,Beauty_5,moisturizer,4,2
"I'm really disappointed with this camping stove. I thought it would be a reliable option for my outdoor trips, but it's been a letdown. The simmer control feature, which I thought would be useful, is actually pretty finicky and difficult to use. It either burns my food or doesn't heat it enough, and I've had to restart it multiple times during a single meal. Overall, I wouldn't recommend this stove to anyone.",organic,simple,0.5,Sports_and_Outdoors_5,camping stove,1,3
"I've been using this shampoo for a few weeks now and it's been okay. It does a decent job of cleaning my hair, but I'm not blown away by the results. One feature I do like is the gentle scent, it's not overpowering and doesn't linger too long after washing. Overall, it's an average shampoo that gets the job done, but I'm not sure if I'd repurchase it.",organic,simple,0.5,Beauty_5,shampoo,3,4
"I've been using this office chair for a few weeks now and overall I'm pretty satisfied with it. The adjustable lumbar support is a great feature, it's really helped me maintain a comfortable position throughout the day. The chair is sturdy and the material is decent, but I do wish it was a bit more breathable. For the price, I think it's a good value, but it's not the most premium chair out there. Still, I'd recommend it to anyone looking for a reliable and comfortable office chair.",organic,simple,0.5,Office_Products_5,office chair,4,5
"I'm really happy with this cookware set, it's been a great addition to my kitchen. The non-stick coating is very effective, food doesn't stick to it and cleaning is easy. I've been using it for a few weeks now and it still looks like new, the quality is impressive. The set has everything I need, from frying pans to saucepans, and the sizes are convenient. Overall, I'm very satisfied with my purchase and would definitely recommend it to others.",organic,simple,0.5,Home_and_Kitchen_5,cookware set,5,6
"I recently purchased this leather watch, but unfortunately, it's been a disappointment. The strap, which I thought would be a nice touch, is actually quite stiff and uncomfortable to wear. The rest of the watch doesn't impress me either, but the strap is the main issue for me. Overall, I wouldn't recommend this watch to others.",organic,simple,0.5,Clothing_Shoes_and_Jewelry_5,leather watch,1,7
"I've been using this stapler in the office for a few months now and it's been decent, but not great. One feature I do like is the adjustable staple depth, which has come in handy when stapling thicker documents. However, I've found that it often jams and the staples can get bent, which is frustrating. Overall, it gets the job done, but I wouldn't recommend it to anyone looking for a reliable stapler.",organic,simple,0.5,Office_Products_5,stapler,2,8
"I was really looking forward to reading this self-help book, but unfortunately, it didn't live up to my expectations. One thing that particularly disappointed me was the lack of actionable exercises - the book mostly just presents theoretical concepts without providing any concrete steps to apply them in real life. Overall, I found the book to be more of a philosophical discussion rather than a practical guide, which is what I was hoping for.",organic,simple,0.5,Books_5,self-help book,1,9
"I've had this tablet for a few months now, and overall I'm a bit disappointed. The battery life is pretty decent, it can last around 8 hours with moderate use, but that's about where the positives end for me. The display resolution is only 720p, which is a bit of a letdown, especially considering the price point. Specifically, I was looking forward to using the stylus feature, but unfortunately, it's not as responsive as I had hoped. It's an okay device, but I wouldn't recommend it to anyone looking for a high-quality tablet experience.",organic,simple,0.5,Electronics_5,tablet,2,10
"I recently finished reading this thriller novel and had mixed feelings about it. The story was engaging, but it didn't quite live up to my expectations. One aspect that did stand out was the author's ability to create suspenseful scenes, particularly the way they wove together the plot twists in the middle of the book. However, I found some of the characters to be a bit one-dimensional, which made it hard for me to fully invest in their stories. Overall, it was an okay read, but not something that I would highly recommend to fellow thriller fans.",organic,simple,0.5,Books_5,thriller novel,3,11
"I recently purchased this backpack and overall, I'm pretty satisfied with it. The multiple compartments make it easy to organize my belongings, and the padded laptop sleeve is a great feature that provides extra protection for my device. The material is also durable and seems like it will hold up well over time. My only reason for not giving it a full 5 stars is that the straps could be a bit more comfortable, but for the price, I think it's a good value.",organic,simple,0.5,Clothing_Shoes_and_Jewelry_5,backpack,4,12
"I was really disappointed with this pet food bowl. The non-slip bottom is probably the only decent feature, as it does prevent the bowl from sliding around on the floor. However, the material feels cheap and the design is pretty basic. My pet's food often gets stuck in the corners and it's a hassle to clean. Overall, I wouldn't recommend this bowl to anyone.",organic,simple,0.5,Pet_Supplies_5,pet food bowl,1,13
"I've been using this bluetooth speaker for a few weeks now and overall I'm pretty satisfied with it. The sound quality is good and it's been reliable. One feature that's really stood out to me is the waterproof design - I accidentally left it out in the rain and it still works perfectly, which is a big plus. My only reason for not giving it a full 5 stars is that the battery life could be a bit better, but for the price I think it's a fair trade-off.",organic,simple,0.5,Electronics_5,bluetooth speaker,4,14
"I recently finished reading this thriller novel and I have to say, it was an exceptional read. The author's ability to weave complex plot twists and turns kept me engaged from start to finish. One feature that really stood out to me was the well-developed protagonist, whose relatable backstory and motivations made it easy to become invested in their story. Overall, I highly recommend this book to fans of the thriller genre, and I'm giving it a well-deserved 5 out of 5 stars.",organic,simple,0.5,Books_5,thriller novel,5,15
"I recently purchased the DVD for this action movie and unfortunately, it didn't live up to my expectations. The special effects were probably the most notable aspect, with the explosion scenes being somewhat impressive. However, the storyline was predictable and the characters lacked depth, making it hard to become invested in the plot. Overall, I wouldn't recommend this movie to anyone looking for a compelling action film.",organic,simple,0.5,Movies_and_TV_5,action movie DVD,1,16
"I recently watched this documentary series and unfortunately, it didn't live up to my expectations. The one thing that really stood out to me was the poor narration - the voiceover often felt disconnected from the footage, which made it hard to become fully engaged with the story being told. Overall, I found the series to be lacking in depth and insight, and I wouldn't recommend it to others.",organic,simple,0.5,Movies_and_TV_5,documentary series,1,17
"I've been using this knife set for a few weeks now and overall, I'm pretty satisfied with the purchase. The knives are well-balanced and comfortable to hold, making food prep a lot easier. One feature that really stands out to me is the ergonomic handles - they're contoured to fit nicely in my hand, reducing fatigue when chopping or slicing for extended periods. The only reason I'm not giving it a full 5 stars is that the knives could be a bit sharper out of the box, but a quick sharpening took care of that. For the price, I think this set is a solid choice for anyone looking to upgrade their kitchen tools.",organic,simple,0.5,Home_and_Kitchen_5,knife set,4,18
"I recently purchased this tent for a camping trip and overall, I'm pretty satisfied with it. The waterproof coating held up well in rainy conditions, which was a big plus. One feature that really stood out to me was the color-coded pole system, it made setup a lot easier than I expected. My only reason for not giving it a full 5 stars is that the stakes could be a bit more sturdy, but for the price, I think it's a good value.",organic,simple,0.5,Sports_and_Outdoors_5,tent,4,19
"I recently purchased this cat bed for my pet and it's been an okay addition to our home. The bed itself is pretty comfortable and my cat seems to enjoy sleeping in it. One feature I do like is the removable and washable cover, it makes cleaning up after my cat a lot easier. However, I was expecting it to be a bit more sturdy and the material could be of better quality. Overall, it's an average cat bed that gets the job done, but nothing special.",organic,simple,0.5,Pet_Supplies_5,cat bed,3,20
"I recently purchased this tent for a camping trip and had mixed feelings about it. The waterproof rain fly was a great feature, it kept us dry during a sudden downpour, but overall the tent didn't quite meet my expectations. The setup process was more complicated than I anticipated and the construction felt a bit flimsy. For the price, I was hoping for a more sturdy and easier to assemble tent. Unfortunately, it didn't quite live up to my standards, hence the average rating.",organic,simple,1.0,Sports_and_Outdoors_5,tent,2,1
"I've been using this shampoo for a few weeks now, and it's been okay. The scent is nice and subtle, which I appreciate. One feature that did stand out to me is the moisturizing properties - it has a built-in conditioner that helps to detangle my hair, which is a big plus. However, I haven't noticed any significant improvement in the overall health or appearance of my hair, so I wouldn't say it's the best shampoo I've ever used. Overall, it's an average product that gets the job done, but doesn't exceed my expectations.",organic,simple,1.0,Beauty_5,shampoo,3,2
"I was really looking forward to trying out this cookbook, but unfortunately, it didn't live up to my expectations. The lack of nutritional information for each recipe was a major disappointment for me. I think this is a pretty standard feature in most cookbooks, so it was surprising to see it missing here. Overall, I just didn't find this book to be very useful or inspiring, and I wouldn't recommend it to others.",organic,simple,1.0,Books_5,cookbook,1,3
"I've been using this office chair for a few weeks now and overall I'm pretty satisfied with it. The adjustable lumbar support feature has been a game changer for me, it's really helped to reduce the strain on my back during long work hours. The chair is comfortable and sturdy, my only reason for not giving it a 5 star rating is that the armrests could be a bit more adjustable, but for the price I think it's a good value.",organic,simple,1.0,Office_Products_5,office chair,4,4
"I've been using this cookware set for a few months now and it's been a solid addition to my kitchen. The non-stick coating has held up well and the heat distribution is even, which I appreciate. One feature that's really stood out to me is the stay-cool handles - they're comfortable to hold and make it easy to maneuver the pans, even when they're hot. Overall, I'm happy with the set, but I did notice that the coating can be a bit fragile if you're not careful, which is why I'm giving it 4 stars instead of 5.",organic,simple,1.0,Home_and_Kitchen_5,cookware set,4,5
"I'm pretty happy with this scratching post, it's been a good addition to our home for our cat. The carpeted surface is a nice touch, it seems to really appeal to our pet and she uses it regularly. My only reason for not giving it a full 5 stars is that it's not the sturdiest thing, but overall it's done the job and saved our furniture from some damage.",organic,simple,1.0,Pet_Supplies_5,scratching post,4,6
"I was really looking forward to using this camping stove on my last trip, but unfortunately, it didn't live up to my expectations. The automatic ignition feature, which I thought would be convenient, was actually pretty finicky and often took several attempts to get the flame going. Overall, I was disappointed with the performance and reliability of this stove, and I wouldn't recommend it to others.",organic,simple,1.0,Sports_and_Outdoors_5,camping stove,1,7
"I was really disappointed with this printer paper. The 92 brightness rating is supposed to make colors pop, but in my experience, it didn't make a noticeable difference. The paper itself feels cheap and flimsy, and it's caused more jams in my printer than any other paper I've used. Overall, I wouldn't recommend it.",organic,simple,1.0,Office_Products_5,printer paper,1,8
"I recently purchased this bluetooth speaker and have mixed feelings about it. The sound quality is decent, but not impressive. One feature I do like is the waterproof design, which is convenient for outdoor use. However, the battery life is shorter than I expected and the speaker can be quite heavy to carry around. Overall, it's an average product that doesn't particularly stand out in its category.",organic,simple,1.0,Electronics_5,bluetooth speaker,2,9
"I recently purchased this leather watch and have been wearing it for a few weeks. The leather strap is quite comfortable, especially the fact that it has a simple buckle closure which makes it easy to put on and take off. Overall, it's a decent timepiece, but I was expecting a bit more quality for the price. The design is classic and simple, but it doesn't particularly stand out from other similar watches. It's an okay addition to my accessory collection, but I wouldn't say it's a must-have.",organic,simple,1.0,Clothing_Shoes_and_Jewelry_5,leather watch,3,10
"I've been using this office chair for a few months now and it's been decent. The adjustable lumbar support is a nice feature, it helps maintain a comfortable position during long work hours. However, I've found the cushioning to be a bit lacking and the armrests could be more sturdy. Overall, it's an average chair that gets the job done, but nothing exceptional.",organic,simple,1.0,Office_Products_5,office chair,3,11
"I've had this scratching post for a few weeks now and it's been a decent addition to our home for my cat. The sturdy base is one feature that I really like, as it prevents the post from tipping over even when my cat gets a bit rough. Overall, it's served its purpose and my cat seems to enjoy using it, although I do wish it were a bit taller to give her more room to stretch.",organic,simple,1.0,Pet_Supplies_5,scratching post,4,12
"I recently purchased this winter jacket and have been wearing it for a few weeks now. Overall, it's an okay piece of clothing, but nothing special. One feature I do like is the adjustable cuffs, which help prevent cold air from getting in. However, the jacket could be warmer and the material feels a bit cheap. It's done the job so far, but I'm not sure how well it will hold up in the long run.",organic,simple,1.0,Clothing_Shoes_and_Jewelry_5,winter jacket,3,13
"I've been using this moisturizer for a few weeks now and I'm really happy with the results. It's been keeping my skin hydrated and soft, and I've noticed a significant reduction in dry patches. One feature that really stands out to me is the non-greasy texture - it absorbs quickly into my skin without leaving any residue, which is perfect for everyday use. Overall, I'm very satisfied with this product and would definitely recommend it to others.",organic,simple,1.0,Beauty_5,moisturizer,5,14
"I recently purchased this camping stove and used it on a week-long trip in the mountains. It performed flawlessly, providing a reliable and efficient way to cook meals. One feature that really stood out to me was the adjustable burner, which allowed me to simmer delicate dishes or quickly boil water as needed. Overall, I'm very impressed with the quality and functionality of this stove, and I would definitely recommend it to anyone in the market for a new camping stove.",organic,simple,1.0,Sports_and_Outdoors_5,camping stove,5,15
"I recently purchased this remote control car and unfortunately, it didn't quite live up to my expectations. The one feature I did like was the turbo mode, which allowed the car to reach some decent speeds. However, overall the car's performance and build quality were just average, and I experienced some issues with the remote's range and reliability. For the price, I was hoping for a bit more.",organic,simple,1.0,Toys_and_Games_5,remote control car,2,16
"I'm really disappointed with this hair dryer. I was expecting a decent product, but it's been a letdown. The cool shot button, which I thought would be useful, is actually pretty finicky and often gets stuck. Overall, it's just not worth the money and I wouldn't recommend it to anyone.",organic,simple,1.0,Beauty_5,hair dryer,1,17
"I've been using this desk lamp in my office for a few weeks now, and I'd say it's just average. The adjustable arm is a nice feature, it allows me to direct the light exactly where I need it. However, the overall build quality and light output could be better. The lamp feels a bit flimsy and the light it produces is not as bright as I'd like. For the price, I expected a bit more.",organic,simple,1.0,Office_Products_5,desk lamp,2,18
"I recently finished reading this fantasy novel and unfortunately, it didn't quite live up to my expectations. The world-building was detailed, but the pacing felt slow and the characters were somewhat underdeveloped. One aspect that did stand out to me was the unique magic system, which was based on a complex network of elemental balances. However, this interesting feature wasn't enough to carry the rest of the story, and I found myself struggling to stay engaged with the plot. Overall, it was an average read, but not something I would highly recommend.",organic,simple,1.0,Books_5,fantasy novel,2,19
"I've been using these running shoes for a few weeks now and they're decent. The cushioning is pretty good, especially the extra support in the heel area which has helped reduce the impact on my joints. However, I find them to be a bit heavier than I expected and the breathability could be improved. Overall, they're average shoes that get the job done, but I'm not blown away by their performance.",organic,simple,1.0,Clothing_Shoes_and_Jewelry_5,running shoes,3,20
"Not grippy at all, slipped all over the place during my first use.",organic,with_examples,0.0,Sports_and_Outdoors_5,yoga mat,1,1
"Does the job, decent space for files, but drawers can be a bit sticky at times.",organic,with_examples,0.0,Office_Products_5,filing cabinet,3,2
"Love this moisturizer, it's really hydrating and a great value for the price, only wish it had a bit more SPF.",organic,with_examples,0.0,Beauty_5,moisturizer,4,3
"Terrible plot, not what I expected, waste of time.",organic,with_examples,0.0,Movies_and_TV_5,action movie DVD,1,4
"Terrible plot, not what I expected at all.",organic,with_examples,0.0,Movies_and_TV_5,drama series box set,1,5
"Not as funny as I remembered, still has some good moments though.",organic,with_examples,0.0,Movies_and_TV_5,comedy show Blu-ray,2,6
"It's okay, does the job but the fit is a bit off, expected more for the price.",organic,with_examples,0.0,Sports_and_Outdoors_5,bike helmet,2,7
